id,planid,lokplan_id,komnr,kommunenavn,lp_plannr,lp_plannavn,datovedt,bygkunifelt,bygvejledende,doklink
1329521,9527683,3275559,390,Vordingborg,B 16.01.01,Boliger i Fjordgården,20170313,true,true,https://dokument.plandata.dk/20_3275559_1489408524671.pdf
1329522,9527697,3275559,390,Vordingborg,B 16.01.01,Boliger i Fjordgården,20170313,true,true,https://dokument.plandata.dk/20_3275559_1489408524671.pdf
1329933,9701186,9701184,390,Vordingborg,C 17.08.01,Dagligvarebutik ved Bryggervangen i Vordingborg,20200304,true,true,https://dokument.plandata.dk/20_9701184_1583772514302.pdf
1330192,9527653,176794,390,Vordingborg,Nr. 69,"Området Torvet, Storegade, Havnestræde, Provstestræde og Kirkepladsen",19961107,true,true,https://dokument.plandata.dk/20_176794_DRAFT_1158427090802.pdf
1330194,9527678,176794,390,Vordingborg,Nr. 69,"Området Torvet, Storegade, Havnestræde, Provstestræde og Kirkepladsen",19961107,true,true,https://dokument.plandata.dk/20_176794_DRAFT_1158427090802.pdf
1330198,9527767,176794,390,Vordingborg,Nr. 69,"Området Torvet, Storegade, Havnestræde, Provstestræde og Kirkepladsen",19961107,true,true,https://dokument.plandata.dk/20_176794_DRAFT_1158427090802.pdf
1330204,11967261,176794,390,Vordingborg,Nr. 69,"Området Torvet, Storegade, Havnestræde, Provstestræde og Kirkepladsen",19961107,true,true,https://dokument.plandata.dk/20_176794_DRAFT_1158427090802.pdf
1334549,9628839,9628825,390,Vordingborg,T 04.01.01,Biogasanlæg Lynggården,20190918,true,true,https://dokument.plandata.dk/20_9628825_1569927593574.pdf
1334551,9628842,9628825,390,Vordingborg,T 04.01.01,Biogasanlæg Lynggården,20190918,true,true,https://dokument.plandata.dk/20_9628825_1569927593574.pdf
1334636,9527891,1072062,390,Vordingborg,C-17.1,Centerområde i Masnedsund,20060529,true,true,https://dokument.plandata.dk/20_1072062_1681731585565.pdf
1334637,9527900,1072062,390,Vordingborg,C-17.1,Centerområde i Masnedsund,20060529,true,true,https://dokument.plandata.dk/20_1072062_1681731585565.pdf
1345986,9527757,176781,390,Vordingborg,Nr. 46,Område til bolig- og centerformål ved Storegade i Stege,19890220,true,true,https://dokument.plandata.dk/20_176781_DRAFT_1158427073006.pdf
1345988,9527842,176781,390,Vordingborg,Nr. 46,Område til bolig- og centerformål ved Storegade i Stege,19890220,true,true,https://dokument.plandata.dk/20_176781_DRAFT_1158427073006.pdf
